"season","week","contestant","artist","result","song","timesOnBillboard","isOnBillboard"
"Season_01","20020618_top_30_group_1","Tamyra Gray","Jennifer Holliday","Advanced (1st)","And I Am Telling You I'm Not Going",28,TRUE
"Season_01","20020618_top_30_group_1","Jim Verraros","Doris Day","Advanced (3rd)","When I Fall in Love",0,FALSE
"Season_01","20020618_top_30_group_1","Adriel Herrera","Edwin McCain","Eliminated","I'll Be",64,TRUE
"Season_01","20020618_top_30_group_1","Rodesia Eaves","The Monkees","Eliminated","Daydream Believer",33,TRUE
"Season_01","20020618_top_30_group_1","Natalie Burge","Patsy Cline","Eliminated","Crazy",177,TRUE
"Season_01","20020618_top_30_group_1","Brad Estrin","James Ingram","Eliminated","Just Once",23,TRUE
"Season_01","20020618_top_30_group_1","Ryan Starr","The King Cole Trio","Advanced (2nd)","The Frim-Fram Sauce",0,FALSE
"Season_01","20020618_top_30_group_1","Justinn Waddell","Percy Sledge","Eliminated","When a Man Loves a Woman",0,FALSE
"Season_01","20020618_top_30_group_1","Kelli Glover","Dolly Parton","Wild Card","I Will Always Love You",44,TRUE
"Season_01","20020618_top_30_group_1","Christopher Aaron","Brian McKnight","Wild Card","Still in Love",0,FALSE
"Season_01","20020625_top_30_group_2","Alexis Lopez","Gloria Gaynor","Wild Card","I Will Survive",58,TRUE
"Season_01","20020625_top_30_group_2","Gil Sinuet","Stevie Wonder","Eliminated","Ribbon in the Sky",0,FALSE
"Season_01","20020625_top_30_group_2","Angela Peel","Whitney Houston","Wild Card","Run to You",0,FALSE
"Season_01","20020625_top_30_group_2","AJ Gil","O-Town","Advanced (3rd)","All or Nothing",0,FALSE
"Season_01","20020625_top_30_group_2","Tenia Taylor","Whitney Houston","Eliminated","Greatest Love of All",0,FALSE
"Season_01","20020625_top_30_group_2","Alexandra Bachelier","Vanessa Williams","Eliminated","Save the Best for Last",0,FALSE
"Season_01","20020625_top_30_group_2","Jazmin Lowery","Tamia","Eliminated","You Put a Move on My Heart",0,FALSE
"Season_01","20020625_top_30_group_2","Jamar","George Michael","Eliminated","Careless Whisper",40,TRUE
"Season_01","20020625_top_30_group_2","Kelly Clarkson","Aretha Franklin","Advanced (2nd)","Respect",26,TRUE
"Season_01","20020625_top_30_group_2","Justin Guarini","Stevie Wonder","Advanced (1st)","Ribbon in the Sky",0,FALSE
"Season_01","20020702_top_30_group_3","R. J. Helton","The Jackson 5","Wild Card","I'll Be There",91,TRUE
"Season_01","20020702_top_30_group_3","Kristin Holt","Alicia Keys","Eliminated","Fallin'",45,TRUE
"Season_01","20020702_top_30_group_3","Mark Scott","The Temptations","Eliminated","My Girl",62,TRUE
"Season_01","20020702_top_30_group_3","Nikki McKibbin","Bonnie Tyler","Advanced (2nd)","Total Eclipse of the Heart",0,FALSE
"Season_01","20020702_top_30_group_3","Chris Badano","John Michael Montgomery","Eliminated","I Swear",50,TRUE
"Season_01","20020702_top_30_group_3","Melanie Sanders","Jennifer Holliday","Eliminated","And I Am Telling You I'm Not Going",28,TRUE
"Season_01","20020702_top_30_group_3","EJay Day","Edwin McCain","Advanced (3rd)","I'll Be",64,TRUE
"Season_01","20020702_top_30_group_3","Tanesha Ross","Aretha Franklin","Eliminated","Until You Come Back to Me (That's What I'm Gonna Do)",0,FALSE
"Season_01","20020702_top_30_group_3","Khaleef Chiles","Stevie Wonder","Eliminated","My Cherie Amour",17,TRUE
"Season_01","20020702_top_30_group_3","Christina Christian","Etta James","Advanced (1st)","At Last",11,TRUE
"Season_01","20020710_wildcard_show","Kelli Glover","Laura Branigan","Eliminated","How Am I Supposed to Live Without You",0,FALSE
"Season_01","20020710_wildcard_show","Christopher Aaron","Boyz II Men","Eliminated","On Bended Knee",27,TRUE
"Season_01","20020710_wildcard_show","Alexis Lopez","Whitney Houston","Eliminated","Saving All My Love for You",0,FALSE
"Season_01","20020710_wildcard_show","R. J. Helton","Stevie Wonder","Advanced","Lately",71,TRUE
"Season_01","20020710_wildcard_show","Angela Peel","Kelly Price","Eliminated","As We Lay",37,TRUE
"Season_01","20020716_top_10_perform","Ryan Starr","Stevie Wonder","Safe","If You Really Love Me",14,TRUE
"Season_01","20020716_top_10_perform","R. J. Helton","The Four Tops","Safe","I Can't Help Myself (Sugar Pie Honey Bunch)",14,TRUE
"Season_01","20020716_top_10_perform","Nikki McKibbin","Michael Jackson","Bottom Three","Ben",16,TRUE
"Season_01","20020716_top_10_perform","EJay Day","The Temptations","Eliminated","My Girl",62,TRUE
"Season_01","20020716_top_10_perform","Tamyra Gray","Diana Ross","Safe","Touch Me in the Morning",0,FALSE
"Season_01","20020716_top_10_perform","Justin Guarini","Stevie Wonder","Safe","For Once in My Life",0,FALSE
"Season_01","20020716_top_10_perform","Jim Verraros","Commodores","Eliminated","Easy",87,TRUE
"Season_01","20020716_top_10_perform","Kelly Clarkson","Marvin Gaye and Tammi Terrell","Safe","You're All I Need to Get By",0,FALSE
"Season_01","20020716_top_10_perform","AJ Gil","Stevie Wonder","Safe","My Cherie Amour",17,TRUE
"Season_01","20020716_top_10_perform","Christina Christian","Marvin Gaye and Tammi Terrell","Safe","Ain't No Mountain High Enough",26,TRUE
"Season_01","20020723_top_8_finalists","R. J. Helton","The Drifters","Safe","Under the Boardwalk",0,FALSE
"Season_01","20020723_top_8_finalists","Tamyra Gray","Ike & Tina Turner","Safe","A Fool in Love",0,FALSE
"Season_01","20020723_top_8_finalists","Nikki McKibbin","Erma Franklin","Safe","Piece of My Heart",0,FALSE
"Season_01","20020723_top_8_finalists","AJ Gil","Marvin Gaye","Eliminated","How Sweet It Is (To Be Loved by You)",0,FALSE
"Season_01","20020723_top_8_finalists","Kelly Clarkson","Aretha Franklin","Safe","(You Make Me Feel Like) A Natural Woman",0,FALSE
"Season_01","20020723_top_8_finalists","Christina Christian","Percy Sledge","Bottom Three","When a Man Loves a Woman",0,FALSE
"Season_01","20020723_top_8_finalists","Justin Guarini","Bobby Hebb","Safe","Sunny",18,TRUE
"Season_01","20020723_top_8_finalists","Ryan Starr","The Kinks","Bottom Two","You Really Got Me",26,TRUE
"Season_01","20020730_top_7_finalists","Nikki McKibbin","Pat Benatar","Bottom Three","Heartbreaker",78,TRUE
"Season_01","20020730_top_7_finalists","Ryan Starr","Donna Summer","Eliminated","Last Dance",21,TRUE
"Season_01","20020730_top_7_finalists","Christina Christian","Bill Withers","Safe","Ain't No Sunshine",18,TRUE
"Season_01","20020730_top_7_finalists","Justin Guarini","Donny Hathaway","Bottom Two","Someday We'll All Be Free",0,FALSE
"Season_01","20020730_top_7_finalists","Kelly Clarkson","Aretha Franklin","Safe","Don't Play That Song (You Lied)",12,TRUE
"Season_01","20020730_top_7_finalists","R. J. Helton","Stevie Wonder","Safe","Superstition",16,TRUE
"Season_01","20020730_top_7_finalists","Tamyra Gray","Gladys Knight & the Pips","Safe","If I Were Your Woman",15,TRUE
"Season_01","20020806_top_6_finalists","Tamyra Gray","Cab Calloway and His Orchestra","Safe","Minnie the Moocher",0,FALSE
"Season_01","20020806_top_6_finalists","Justin Guarini","Nat King Cole","Safe","Route 66",5,TRUE
"Season_01","20020806_top_6_finalists","Nikki McKibbin","Paul Whiteman and His Orchestra","Bottom Three","Hard-Hearted Hannah",0,FALSE
"Season_01","20020806_top_6_finalists","Christina Christian","Benny Goodman","Eliminated","The Glory of Love",0,FALSE
"Season_01","20020806_top_6_finalists","R. J. Helton","Fred Astaire and Ginger Rogers","Bottom Two","I Won't Dance",0,FALSE
"Season_01","20020806_top_6_finalists","Kelly Clarkson","The King Sisters","Safe","Stuff Like That There",0,FALSE
"Season_01","20020813_top_5_finalists","Kelly Clarkson","Dionne Warwick","Safe","Walk On By",52,TRUE
"Season_01","20020813_top_5_finalists","R. J. Helton","Christopher Cross","Eliminated","Arthur's Theme (Best That You Can Do)",24,TRUE
"Season_01","20020813_top_5_finalists","Tamyra Gray","Dionne Warwick","Safe","A House is Not a Home",0,FALSE
"Season_01","20020813_top_5_finalists","Justin Guarini","Dusty Springfield","Safe","The Look of Love",0,FALSE
"Season_01","20020813_top_5_finalists","Nikki McKibbin","Lou Johnson","Bottom Two","(There's) Always Something There to Remind Me",0,FALSE
"Season_01","20020820_top_4_finalists","Tamyra Gray","Patti LaBelle","Eliminated","New Attitude",21,TRUE
"Season_01","20020820_top_4_finalists","Nikki McKibbin","Alanis Morissette","Bottom Two","Mary Jane",12,TRUE
"Season_01","20020820_top_4_finalists","Kelly Clarkson","The Weather Girls","Safe","It's Raining Men",11,TRUE
"Season_01","20020820_top_4_finalists","Justin Guarini","Oleta Adams","Safe","Get Here",23,TRUE
"Season_01","20020820_top_4_finalists","Tamyra Gray","Stephanie Mills","Eliminated","Feel the Fire",0,FALSE
"Season_01","20020820_top_4_finalists","Nikki McKibbin","Melissa Etheridge","Bottom Two","I'm the Only One",0,FALSE
"Season_01","20020820_top_4_finalists","Kelly Clarkson","Celine Dion","Safe","I Surrender",13,TRUE
"Season_01","20020820_top_4_finalists","Justin Guarini","Michael Jackson","Safe","P.Y.T. (Pretty Young Thing)",17,TRUE
"Season_01","20020827_top_3_finalists","Nikki McKibbin","Stevie Nicks","Third Place","Edge of Seventeen",0,FALSE
"Season_01","20020827_top_3_finalists","Justin Guarini","Al Green","Safe","Let's Stay Together",38,TRUE
"Season_01","20020827_top_3_finalists","Kelly Clarkson","Celine Dion","Safe","Think Twice",18,TRUE
"Season_01","20020827_top_3_finalists","Nikki McKibbin","Alannah Myles","Third Place","Black Velvet",24,TRUE
"Season_01","20020827_top_3_finalists","Justin Guarini","Elton John","Safe","Don't Let the Sun Go Down on Me",0,FALSE
"Season_01","20020827_top_3_finalists","Kelly Clarkson","Badfinger","Safe","Without You",174,TRUE
"Season_01","20020903_top_2_finalists","Justin Guarini","Kelly Clarkson","Runner-up","Before Your Love",0,FALSE
"Season_01","20020903_top_2_finalists","Kelly Clarkson","Kelly Clarkson","Winner","A Moment Like This",20,TRUE
"Season_01","20020903_top_2_finalists","Justin Guarini","Oleta Adams","Runner-up","Get Here",23,TRUE
"Season_01","20020903_top_2_finalists","Kelly Clarkson","Aretha Franklin","Winner","Respect",26,TRUE
"Season_01","20020903_top_2_finalists","Justin Guarini","Kelly Clarkson","Runner-up","A Moment Like This",20,TRUE
"Season_01","20020903_top_2_finalists","Kelly Clarkson","Kelly Clarkson","Winner","Before Your Love",0,FALSE
"Season_02","20030204_top_32_group_1","Kimberly Caldwell","Melissa Etheridge","Wild Card (3rd)","Come to My Window",0,FALSE
"Season_02","20030204_top_32_group_1","Patrick Fortson","Toni Braxton","Eliminated","Un-Break My Heart",42,TRUE
"Season_02","20030204_top_32_group_1","J.D. Adams","Stevie Wonder","Eliminated","All in Love Is Fair",0,FALSE
"Season_02","20030204_top_32_group_1","Trenyce","Bonnie Raitt","Wild Card","Love Sneakin' Up On You",20,TRUE
"Season_02","20030204_top_32_group_1","Meosha Denton","LeAnn Rimes","Eliminated","How Do I Live",69,TRUE
"Season_02","20030204_top_32_group_1","Bettis Richardson","Boyz II Men","Eliminated","Thank You",73,TRUE
"Season_02","20030204_top_32_group_1","Charles Grigsby","Stevie Wonder","Advanced","Overjoyed",13,TRUE
"Season_02","20030204_top_32_group_1","Julia DeMato","Dusty Springfield","Advanced","Son of a Preacher Man",0,FALSE
"Season_02","20030211_top_32_group_2","Clay Aiken","Journey","Wild Card (3rd)","Open Arms",25,TRUE
"Season_02","20030211_top_32_group_2","Candice Coleman","Erma Franklin","Eliminated","Piece of My Heart",0,FALSE
"Season_02","20030211_top_32_group_2","Rebecca Bond","Anita Baker","Eliminated","Caught Up in the Rapture",0,FALSE
"Season_02","20030211_top_32_group_2","Jacob John Smalley","Brian McKnight","Eliminated","Anytime",14,TRUE
"Season_02","20030211_top_32_group_2","Hadas","Kasey Cisyk","Eliminated","You Light Up My Life",49,TRUE
"Season_02","20030211_top_32_group_2","Ruben Studdard","Delaney & Bonnie","Advanced","Superstar",65,TRUE
"Season_02","20030211_top_32_group_2","Kimberley Locke","Judy Garland","Advanced","Over the Rainbow",0,FALSE
"Season_02","20030211_top_32_group_2","Jennifer Fuentes","Whitney Houston","Eliminated","I Wanna Dance with Somebody (Who Loves Me)",0,FALSE
"Season_02","20030218_top_32_group_3","Kimberly Kelsey","Pandora's Box","Eliminated","It's All Coming Back to Me Now",0,FALSE
"Season_02","20030218_top_32_group_3","Jordan Segundo","Stevie Wonder","Eliminated","For Your Love",45,TRUE
"Season_02","20030218_top_32_group_3","Vanessa Olivarez","Irene Cara","Advanced","Out Here On My Own",23,TRUE
"Season_02","20030218_top_32_group_3","Rickey Smith","Brian McKnight","Advanced","One Last Cry",22,TRUE
"Season_02","20030218_top_32_group_3","Samantha Cohen","Aretha Franklin","Eliminated","Something He Can Feel",12,TRUE
"Season_02","20030218_top_32_group_3","Louis Gazzara","Laura Branigan","Eliminated","How Am I Supposed to Live Without You",0,FALSE
"Season_02","20030218_top_32_group_3","Equoia Coleman","Barbra Streisand","Top 3/Eliminated","The Way We Were",23,TRUE
"Season_02","20030218_top_32_group_3","George Trice","The Righteous Brothers","Eliminated","Unchained Melody",71,TRUE
"Season_02","20030225_top_32_group_4","Sylvia Chibiliti","Whitney Houston","Eliminated","Didn't We Almost Have It All",17,TRUE
"Season_02","20030225_top_32_group_4","Chip Days","Leon Russell","Wild Card","A Song for You",0,FALSE
"Season_02","20030225_top_32_group_4","Juanita Barber","Yolanda Adams","Eliminated","What About the Children",0,FALSE
"Season_02","20030225_top_32_group_4","Patrick Lake","Bad English","Top 3/Eliminated","When I See You Smile",22,TRUE
"Season_02","20030225_top_32_group_4","Nasheka Siddall","Yolanda Adams","Wild Card","Open My Heart",20,TRUE
"Season_02","20030225_top_32_group_4","Joshua Gracin","Edwin McCain","Advanced","I'll Be",64,TRUE
"Season_02","20030225_top_32_group_4","Ashley Hartman","Diana Ross","Eliminated","Touch Me in the Morning",0,FALSE
"Season_02","20030225_top_32_group_4","Corey Clark","Steve Perry","Advanced","Foolish Heart",24,TRUE
"Season_02","20030304_wildcard_show","Kimberly Caldwell","Carole King","Advanced (Randy's choice)","I Feel the Earth Move",0,FALSE
"Season_02","20030304_wildcard_show","Clay Aiken","Elton John","Advanced (Public vote)","Don't Let the Sun Go Down on Me",0,FALSE
"Season_02","20030304_wildcard_show","Nasheka Siddall","Roger Whitaker","Eliminated","Wind Beneath My Wings",6,TRUE
"Season_02","20030304_wildcard_show","Carmen Rasmusen","LeAnn Rimes","Advanced (Simon's choice)","Can't Fight the Moonlight",0,FALSE
"Season_02","20030304_wildcard_show","Olivia Mojica","Celine Dion","Eliminated","Because You Loved Me",0,FALSE
"Season_02","20030304_wildcard_show","Janine Falsone","Pat Benatar","Eliminated","We Belong",20,TRUE
"Season_02","20030304_wildcard_show","Chip Days","Michael Jackson","Eliminated","Rock with You",0,FALSE
"Season_02","20030304_wildcard_show","Aliceyn Cooney","Sarah McLachlan","Eliminated","Angel",205,TRUE
"Season_02","20030304_wildcard_show","Trenyce","Al Green","Advanced (Paula's choice)","Let's Stay Together",38,TRUE
"Season_02","20030311_top_12_perform","Kimberley Locke","Martha and the Vandellas","Bottom Three","(Love Is Like a) Heat Wave",0,FALSE
"Season_02","20030311_top_12_perform","Joshua Gracin","The Four Tops","Safe","Baby I Need Your Loving",12,TRUE
"Season_02","20030311_top_12_perform","Charles Grigsby","Marvin Gaye","Safe","How Sweet It Is (To Be Loved by You)",0,FALSE
"Season_02","20030311_top_12_perform","Kimberly Caldwell","Martha and the Vandellas","Safe","Nowhere to Run",0,FALSE
"Season_02","20030311_top_12_perform","Rickey Smith","Len Barry","Safe","1-2-3",39,TRUE
"Season_02","20030311_top_12_perform","Julia DeMato","The Supremes","Bottom Two","Where Did Our Love Go",33,TRUE
"Season_02","20030311_top_12_perform","Clay Aiken","The Four Tops","Safe","I Can't Help Myself (Sugar Pie Honey Bunch)",14,TRUE
